Place,Latitude,Longitude
Alameda County,37.6016892,-121.7195459
Alpine County,38.5940736,-119.8815203
Amador County,38.4092417,-120.6660044
Butte County,39.6474406,-121.634452
Calaveras County,38.2310851,-120.6199895
Colusa County,39.1040645,-122.2653887
Contra Costa County,37.8534093,-121.9017954
Del Norte County,41.7076287,-123.9659708
El Dorado County,38.7426376,-120.4357631
Fresno County,36.9858984,-119.2320784
Glenn County,39.6437813,-122.4467238
Humboldt County,40.7450055,-123.8695086
Imperial County,33.0113694,-115.4733554
Inyo County,36.3091865,-117.5495846
Kern County,35.4937274,-118.8596804
Kings County,36.0988489,-119.8815203
Lake County,28.702847,-81.7787021
Lassen County,40.5394389,-120.7120023
Los Angeles County,34.3871821,-118.1122679
Madera County,37.251926,-119.6962677
Marin County,38.083403,-122.7633036
Mariposa County,37.5127928,-119.8815203
Mendocino County,39.5500194,-123.438353
Merced County,37.2009788,-120.7120023
Modoc County,41.4565165,-120.629366
Mono County,37.9218608,-118.9528645
Monterey County,36.6002236,-121.8947489
Napa County,38.5024689,-122.2653887
Nevada County,39.1346666,-121.1710389
Orange County,33.7879085,-117.855281
Placer County,39.0915751,-120.8039474
Plumas County,39.9926832,-120.8039474
Riverside County,33.6825587,-115.4733554
Sacramento County,38.47467,-121.3541631
San Benito County,36.5760883,-120.9876321
San Bernardino County,34.9592083,-116.419389
San Diego County,33.0933809,-116.6081653
San Francisco County,37.7749295,-122.4194155
San Joaquin County,37.9175935,-121.1710389
San Luis Obispo County,35.3102296,-120.4357631
San Mateo County,37.4337342,-122.4014193
Santa Barbara County,34.6099379,-120.0665236
Santa Clara County,37.2938907,-121.7195459
Santa Cruz County,37.0453995,-121.9579573
Shasta County,40.7908864,-121.8474493
Sierra County,39.5532845,-120.2512728
Siskiyou County,41.7743261,-122.5770126
Solano County,38.3104969,-121.9017954
Sonoma County,38.5779555,-122.9888319
Stanislaus County,37.5090711,-120.9876321
Sutter County,39.0219764,-121.6739371
Tehama County,40.0982197,-122.174605
Trinity County,40.6329485,-123.0622553
Tulare County,36.1341739,-118.8596804
Tuolumne County,38.029655,-119.9740534
Ventura County,34.3704884,-119.1390642
Yolo County,38.7646021,-121.9017954
Yuba County,39.2547027,-121.3998995
Anaheim-Santa Ana-Irvine MD,33.7454725,-117.867653
Bakersfield MSA,35.3732921,-119.0187125
Chico MSA,39.7284944,-121.8374777
El Centro MSA,32.792,-115.5630514
Fresno MSA,36.8079556,-119.742604
Hanford-Corcoran MSA,36.327728,-119.645912
Los Angeles-Long Beach-Glendale MD,38.9876104,-76.8205265
Madera MSA,36.9613356,-120.0607176
Merced MSA,37.3021632,-120.4829677
Modesto MSA,37.6392595,-120.9970014
Napa MSA,38.2975381,-122.286865
Oakland-Hayward-Berkeley MD,39.4078747,-79.4067116
Oxnard-Thousand Oaks-Ventura MSA,34.1761133,-118.8487793
Redding MSA,40.5865396,-122.3916754
Riverside-San Bernardino-Ontario MSA,34.0633443,-117.6508876
Sacramento--Roseville--Arden-Arcade MSA,38.6008071,-121.3770336
Salinas MSA,36.6777372,-121.6555013
San Diego-Carlsbad MSA,33.1580933,-117.3505939
San Francisco-Redwood City-South San Francisco MD,37.654656,-122.4077498
San Jose-Sunnyvale-Santa Clara MSA,37.36883,-122.0363496
San Luis Obispo-Paso Robles-Arroyo Grande MSA,35.6368759,-120.6545022
San Rafael MD,37.9735346,-122.5310874
Santa Cruz-Watsonville MSA,36.910231,-121.7568946
Santa Maria-Santa Barbara MSA,34.4208305,-119.6981901
Santa Rosa MSA,38.440429,-122.7140548
Stockton-Lodi MSA,37.9921785,-121.3084088
Vallejo-Fairfield MSA,38.1040864,-122.2566367
Visalia-Porterville MSA,36.3301329,-119.2966367
Yuba City MSA,39.1404477,-121.6169108
California,36.778261,-119.4179324
